,equity
2020-01-16,100000.0
2020-01-17,100411.7
2020-01-21,100153.94
2020-01-22,100175.42
2020-01-23,100336.52
2020-01-24,99248.2
2020-01-27,97368.7
2020-01-28,98575.15999999999
2020-01-29,98482.08
2020-01-30,98840.08
2020-01-31,96738.62
2020-02-03,97165.22
2020-02-04,98054.41999999998
2020-02-05,99124.15999999997
2020-02-06,99432.63
2020-02-07,98954.35999999999
2020-02-10,99664.69
2020-02-11,99811.84999999999
2020-02-12,100577.85999999999
2020-02-13,100482.55
2020-02-14,100634.34
2020-02-18,100327.23
2020-02-19,100888.49999999999
2020-02-20,100419.01
2020-02-21,99169.39
2020-02-24,98187.72
2020-02-25,97312.84999999999
2020-02-26,97225.63
2020-02-27,95987.64
2020-02-28,95857.70000000001
2020-03-02,98313.73999999999
2020-03-03,96649.22
2020-03-04,99118.84
2020-03-05,97074.07999999999
2020-03-06,96088.56
2020-03-09,91993.22
2020-03-10,94338.68000000001
2020-03-11,91591.64
2020-03-12,87903.70000000001
2020-03-13,90805.94
2020-03-16,85153.75
2020-03-17,86531.875
2020-03-18,84589.375
2020-03-19,85099.675
2020-03-20,83928.925
2020-03-23,83223.32500000001
2020-03-24,85251.925
2020-03-25,85754.875
2020-03-26,87239.57500000001
2020-03-27,86511.925
2020-03-30,87305.725
2020-03-31,86864.725
2020-04-01,85676.125
2020-04-02,86294.57500000001
2020-04-03,85876.675
2020-04-06,87639.625
2020-04-07,87685.82500000001
2020-04-08,88611.925
2020-04-09,89055.02500000001
2020-04-13,88783.075
2020-04-14,89640.925
2020-04-15,87825.925
2020-04-16,88054.61499999999
2020-04-17,89487.23500000002
2020-04-20,88072.355
2020-04-21,85529.715
2020-04-22,86627.405
2020-04-23,86621.795
2020-04-24,87347.355
2020-04-27,88580.88500000001
2020-04-28,88167.755
2020-04-29,90353.535
2020-04-30,89615.175
2020-05-01,87329.77500000001
2020-05-04,87552.455
2020-05-05,88302.535
2020-05-06,87772.205
2020-05-07,88756.685
2020-05-08,90166.015
2020-05-11,90198.24500000001
2020-05-12,88419.73500000002
2020-05-13,86937.155
2020-05-14,87593.905
2020-05-15,87957.655
2020-05-18,90474.805
2020-05-19,89680.375
2020-05-20,91082.995
2020-05-21,90442.795
2020-05-22,90631.945
2020-05-26,91714.465
2020-05-27,92980.315
2020-05-28,92840.635
2020-05-29,93253.855
2020-06-01,93533.215
2020-06-02,94298.545
2020-06-03,95465.45499999999
2020-06-04,95247.20499999999
2020-06-05,97592.665
2020-06-08,98683.915
2020-06-09,98040.805
2020-06-10,97484.995
2020-06-11,92148.05500000001
2020-06-12,93487.52500000001
2020-06-15,94478.51500000001
2020-06-16,96125.395
2020-06-17,95807.115
2020-06-18,95836.315
2020-06-19,94896.07500000001
2020-06-22,95518.035
2020-06-23,95906.395
2020-06-24,93631.715
2020-06-25,94522.315
2020-06-26,92428.675
2020-06-29,93733.91500000001
2020-06-30,95012.875
2020-07-01,95488.835
2020-07-02,95961.875
2020-07-06,97369.315
2020-07-07,96423.235
2020-07-08,97121.115
2020-07-09,96665.59500000002
2020-07-10,97553.275
2020-07-13,96726.91500000001
2020-07-14,97929.955
2020-07-15,98820.55500000001
2020-07-16,98493.51500000001
2020-07-17,98738.79500000001
2020-07-20,99674.27500000001
2020-07-21,99903.595
2020-07-22,100602.475
2020-07-23,99193.79500000001
2020-07-24,98451.23500000002
