symbol,direction,entry_date,exit_date,entry_price,exit_price,qty,pnl,pnl_pct,regime,confidence,strategy,stop_price
SPY,long,2020-01-16,2020-01-31,330.86,321.75,358,-3261.3800000000047,-0.027534304539684498,NEUTRAL,0.9999999999998863,regime_alloc,0.0
SPY,long,2020-01-31,2020-02-04,321.75,329.06,180,1315.8000000000004,0.022719502719502727,BEAR,0.999999999990905,regime_alloc,0.0
SPY,long,2020-02-04,2020-02-11,329.06,335.27,283,1757.4299999999942,0.018871938248343705,BULL,0.8565026654762716,regime_alloc,0.0
SPY,long,2020-02-11,2020-02-21,335.27,333.45,353,-642.4599999999975,-0.005428460643660313,NEUTRAL,1.0,regime_alloc,0.0
SPY,long,2020-02-21,2020-02-28,333.45,296.24,89,-3311.6899999999982,-0.11159094316989047,BEAR,1.0,regime_alloc,0.0
SPY,long,2020-02-28,2020-03-16,296.24,241.065,194,-10703.950000000003,-0.1862510126924116,BEAR,1.0,regime_alloc,0.0
SPY,long,2020-03-16,2020-04-14,241.065,283.8,105,4487.175000000001,0.1772758384668036,BULL,1.0,regime_alloc,0.0
SPY,long,2020-04-14,2020-04-15,283.8,277.75,300,-1815.0000000000034,-0.021317829457364382,BULL,1.0,regime_alloc,0.0
SPY,long,2020-04-15,2020-04-17,277.75,286.54,189,1661.3100000000038,0.03164716471647172,BULL,1.0,regime_alloc,0.0
SPY,long,2020-04-17,2020-04-21,286.54,273.17,296,-3957.5200000000013,-0.04666015216025687,BULL,1.0,regime_alloc,0.0
SPY,long,2020-04-21,2020-04-24,273.17,282.89,187,1817.6399999999944,0.03558223816670927,BULL,1.0,regime_alloc,0.0
SPY,long,2020-04-24,2020-05-13,282.89,281.49,293,-410.19999999999334,-0.00494892007494071,BULL,0.9999999999636202,regime_alloc,0.0
SPY,long,2020-05-13,2020-05-14,281.49,285.04,185,656.750000000002,0.012611460442644537,BULL,0.999999999992724,regime_alloc,0.0
SPY,long,2020-05-14,2020-06-11,285.04,300.69,291,4554.149999999993,0.05490457479651971,BULL,0.9026629773637633,regime_alloc,0.0
SPY,long,2020-06-11,2020-06-15,300.69,307.11,363,2330.460000000006,0.02135089294622374,NEUTRAL,0.9300438626114483,regime_alloc,0.0
SPY,long,2020-06-15,2020-07-17,307.11,321.7,292,4260.2799999999925,0.047507407769203126,BULL,1.0,regime_alloc,0.0
SPY,long,2020-07-17,2020-08-21,321.7,339.45,364,6461.0,0.05517562946844887,EUPHORIA,0.999999999992724,regime_alloc,0.0
SPY,long,2020-08-21,2020-09-18,339.45,330.77,294,-2551.920000000002,-0.02557077625570778,BULL,1.0,regime_alloc,0.0
SPY,long,2020-09-18,2020-09-28,330.77,334.25,186,647.2800000000034,0.010520905765335485,BEAR,1.0,regime_alloc,0.0
SPY,long,2020-09-28,2020-10-12,334.25,352.36,293,5306.230000000004,0.05418100224382951,BEAR,0.9796555362804388,regime_alloc,0.0
