,equity
2020-01-16,100000.0
2020-01-17,100330.05
2020-01-21,100123.41
2020-01-22,100140.63
2020-01-23,100269.78
2020-01-24,99397.3
2020-01-27,97890.55
2020-01-28,98857.74
2020-01-29,98783.12
2020-01-30,99070.12
2020-01-31,97385.43
2020-02-03,97814.4
2020-02-04,98708.54
2020-02-05,99782.06
2020-02-06,100091.62
2020-02-07,99611.66
2020-02-10,100324.5
2020-02-11,100472.18
2020-02-12,101088.46
2020-02-13,101011.78
2020-02-14,101133.9
2020-02-18,100886.82
2020-02-19,101338.38
2020-02-20,100960.66
2020-02-21,99955.3
2020-02-24,98973.63
2020-02-25,98098.76
2020-02-26,98011.54
2020-02-27,96773.55
2020-02-28,96643.61
2020-03-02,99112.31
2020-03-03,97439.21
2020-03-04,99921.56
2020-03-05,97866.26
2020-03-06,96875.66
2020-03-09,92759.21
2020-03-10,95116.76
2020-03-11,92355.56
2020-03-12,88648.61
2020-03-13,91565.81
2020-03-16,85884.48
2020-03-17,87275.74
2020-03-18,85314.74
2020-03-19,85829.9
2020-03-20,84648.0
2020-03-23,83935.68
2020-03-24,85983.6
2020-03-25,86491.34
2020-03-26,87990.18
2020-03-27,87255.6
2020-03-30,88056.96
2020-03-31,87611.76
2020-04-01,86411.84
2020-04-02,87036.18
2020-04-03,86614.3
2020-04-06,88394.04
2020-04-07,88440.68
2020-04-08,89375.6
2020-04-09,89822.92
2020-04-13,89548.38
2020-04-14,90414.4
2020-04-15,88587.3
2020-04-16,88818.4
2020-04-17,90266.18
2020-04-20,88836.96
2020-04-21,86268.56
2020-04-22,87377.98
2020-04-23,87372.32
2020-04-24,88105.64
2020-04-27,89347.58
2020-04-28,88931.64
2020-04-29,91132.34
2020-04-30,90388.94
2020-05-01,88087.93
2020-05-04,88312.13
2020-05-05,89067.34
2020-05-06,88533.38
2020-05-07,89524.58
2020-05-08,90943.53
2020-05-11,90975.98
2020-05-12,89185.34
2020-05-13,87692.64
2020-05-14,88352.94
2020-05-15,88720.44
2020-05-18,91263.53
2020-05-19,90460.91
2020-05-20,91877.99
2020-05-21,91231.19
2020-05-22,91422.3
2020-05-26,92515.98
2020-05-27,93794.87
2020-05-28,93653.75
2020-05-29,94071.23
2020-06-01,94353.48
2020-06-02,95126.69
2020-06-03,96305.63
2020-06-04,96085.13
2020-06-05,98454.77
2020-06-08,99557.27
2020-06-09,98907.53
2020-06-10,98345.99
2020-06-11,92954.03
2020-06-12,94038.89
2020-06-15,94841.52
2020-06-16,96499.67
2020-06-17,96179.22
2020-06-18,96208.62
2020-06-19,95261.94
2020-06-22,95888.16
2020-06-23,96279.17
2020-06-24,93988.91
2020-06-25,94885.62
2020-06-26,92777.63
2020-06-29,94091.81
2020-06-30,95379.53
2020-07-01,95858.75
2020-07-02,96335.03
2020-07-06,97752.12
2020-07-07,96799.55
2020-07-08,97502.22
2020-07-09,97043.58
2020-07-10,97937.33
2020-07-13,97105.31
2020-07-14,98316.59
2020-07-15,99213.3
2020-07-16,98884.02
2020-07-17,99130.98
2020-07-20,99886.55
2020-07-21,100071.77
2020-07-22,100636.25
2020-07-23,99498.48
2020-07-24,98898.72
2020-07-27,99592.55
2020-07-28,99013.37
2020-07-29,100104.12
2020-07-30,99801.3
2020-07-31,100512.77
2020-08-03,101180.16
2020-08-04,101571.17
2020-08-05,102167.99
2020-08-06,102841.25
2020-08-07,102914.75
2020-08-10,103205.81
2020-08-11,102400.25
2020-08-12,103720.31
2020-08-13,103573.31
2020-08-14,103585.08
2020-08-17,103899.66
2020-08-18,104098.1
2020-08-19,103667.39
2020-08-20,104014.31
2020-08-21,104349.48
2020-08-24,105363.77
2020-08-25,105731.27
2020-08-26,106748.52
2020-08-27,106963.13
2020-08-28,107618.75
2020-08-31,107398.43
2020-09-01,108239.09
2020-09-02,109738.49
2020-09-03,106136.99
2020-09-04,105202.08
2020-09-08,102532.55
2020-09-09,104443.55
2020-09-10,102785.39
2020-09-11,102773.63
2020-09-14,104052.53
2020-09-15,104546.45
2020-09-16,104181.89
2020-09-17,103296.95
2020-09-18,101797.55
2020-09-21,101125.95
2020-09-22,101711.07
2020-09-23,100283.23
2020-09-24,100445.16
2020-09-25,101420.35
2020-09-28,102437.87
2020-09-29,101908.25
2020-09-30,102458.24
2020-10-01,103229.39
2020-10-02,102330.2
2020-10-05,104029.64
2020-10-06,102641.57
2020-10-07,104329.37
2020-10-08,105173.27
2020-10-09,106069.56
2020-10-12,107707.88
2020-10-13,107070.59
2020-10-14,106418.75
2020-10-15,106305.26
2020-10-16,106273.36
2020-10-19,104768.26
2020-10-20,105107.56
2020-10-21,105013.31
2020-10-22,105301.86
2020-10-23,105443.96
2020-10-26,104543.51
2020-10-27,104386.91
2020-10-28,102700.56
2020-10-29,103018.28
2020-10-30,102699.62
2020-11-02,103028.62
2020-11-03,103567.24
2020-11-04,104294.8
2020-11-05,105235.12
2020-11-06,105233.68
2020-11-09,105873.04
2020-11-10,105795.28
2020-11-11,106175.44
2020-11-12,105688.72
2020-11-13,106374.16
2020-11-16,107637.52
2020-11-17,107141.2
2020-11-18,105852.46
2020-11-19,106334.68
2020-11-20,105598.66
2020-11-23,106213.42
2020-11-24,107795.44
2020-11-25,107612.14
2020-11-27,107956.18
2020-11-30,107533.18
2020-12-01,108556.84
2020-12-02,108833.2
2020-12-03,108790.9
2020-12-04,109667.92
2020-12-07,109493.08
2020-12-08,109783.54
2020-12-09,108819.1
2020-12-10,108847.3
2020-12-11,108641.44
2020-12-14,108291.76
2020-12-15,109605.88
2020-12-16,109746.88
2020-12-17,110347.54
2020-12-18,109490.26
2020-12-21,109067.26
2020-12-22,108968.56
2020-12-23,109022.14
2020-12-24,109456.42
2020-12-28,110356.0
2020-12-29,110186.8
2020-12-30,110302.42
2020-12-31,110928.46
2021-01-04,109439.5
2021-01-05,110124.76
2021-01-06,110691.58
2021-01-07,112304.62
2021-01-08,112913.74
2021-01-11,112183.36
2021-01-12,112172.08
2021-01-13,112465.36
2021-01-14,112149.52
2021-01-15,111328.9
2021-01-19,112166.44
2021-01-20,113621.56
2021-01-21,113720.26
2021-01-22,113345.2
2021-01-25,113830.24
2021-01-26,113607.46
2021-01-27,111041.26
2021-01-28,111850.6
2021-01-29,109769.44
2021-02-01,111427.6
2021-02-02,112902.46
2021-02-03,113068.84
2021-02-04,114272.98
2021-02-05,114701.62
2021-02-08,115516.6
2021-02-09,115457.38
2021-02-10,115417.9
2021-02-11,115570.18
2021-02-12,116139.82
2021-02-16,116041.12
2021-02-17,116060.86
2021-02-18,115601.2
2021-02-19,115384.06
2021-02-22,114546.52
2021-02-23,114670.6
2021-02-24,115888.84
2021-02-25,113218.3
2021-02-26,112552.78
2021-03-01,115209.22
2021-03-02,114399.88
2021-03-03,112944.76
2021-03-04,111613.7
2021-03-05,113553.88
2021-03-08,113035.0
2021-03-09,114560.62
2021-03-10,115197.94
2021-03-11,116345.68
2021-03-12,116497.96
2021-03-15,117197.32
2021-03-16,117022.48
2021-03-17,117403.18
2021-03-18,115801.42
2021-03-19,115248.7
2021-03-22,116089.06
2021-03-23,115265.62
2021-03-24,114701.62
2021-03-25,115291.0
2021-03-26,117036.58
2021-03-29,116994.28
2021-03-30,116692.54
2021-03-31,117155.02
2021-04-01,117754.22
2021-04-05,118559.22
2021-04-06,118525.62
2021-04-07,118591.42
2021-04-08,118861.62
2021-04-09,119277.42
2021-04-12,119298.42
2021-04-13,119469.22
2021-04-14,119271.82
2021-04-15,119890.62
2021-04-16,120085.22
2021-04-19,119798.22
2021-04-20,119372.62
2021-04-21,119918.62
2021-04-22,119386.62
2021-04-23,120012.42
2021-04-26,120134.22
2021-04-27,120121.62
2021-04-28,120104.82
2021-04-29,120477.22
2021-04-30,120090.82
2021-05-03,120336.52
2021-05-04,119632.18
2021-05-05,119667.67
2021-05-06,120574.03
2021-05-07,121406.68
2021-05-10,120265.54
2021-05-11,119247.25
2021-05-12,116844.85
2021-05-13,118174.36
2021-05-14,119894.26
2021-05-17,119593.96
2021-05-18,118649.38
2021-05-19,118310.86
2021-05-20,119503.87
2021-05-21,119457.46
2021-05-24,120601.34
2021-05-25,120372.01
2021-05-26,120565.84
2021-05-27,120604.06
2021-05-28,120879.79
2021-06-01,120737.84
2021-06-02,120934.39
2021-06-03,120508.51
2021-06-04,121494.04
2021-06-07,121444.9
2021-06-08,121455.82
2021-06-09,121283.84
2021-06-10,121813.45
2021-06-11,122004.56
